,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
274,Apartamento en venta en Mondariz,Mondariz,85000,66,2.0,2.0,,A estrenar,50.00 euros.,1,0,1,Eléctrica por acumul,1,0,0
275,Piso en venta en Baixada ó Pontillón,Sardoma-Castrelos (Vigo),150000,247,5.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
276,Piso en venta en Avenida del Almirante Méndez Núñez,Moaña (Casco Urbano),140000,100,4.0,2.0,Planta: 3ª,En buen estado,0,0,0,1,No tiene,0,0,0
277,Piso en venta en Calle de Paulino Freire,Bouzas (Distrito Casco Urbano. Vigo),450000,214,5.0,3.0,Planta: 1ª,En buen estado,Más de 100€,1,1,1,Gas natural,1,1,0
278,Piso en venta en Centro - Echegaray,Centro-Echegaray (Pontevedra Capital),215000,144,6.0,2.0,Planta: Bajo,En buen estado,0,0,0,0,Central,0,0,0
279,"Piso en venta en Calle de Ángel Amor Ruibal, 16",A Seca-Os Salgueriños (Pontevedra Capital),146680,85,2.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,No tiene,0,0,0
280,Piso en venta en Calle del Pino,Vila de Cruces,39000,87,3.0,1.0,Planta: 3ª,En buen estado,0,0,0,0,No tiene,0,0,1
281,Piso en venta en Calle Nogal,Casablanca-Calvario (Distrito Casco Urbano. Vigo),130000,90,3.0,1.0,,En buen estado,0,0,0,0,"Si, sin especificar",0,0,0
282,Piso en venta en Calle de Ernesto Caballero,A Seca-Os Salgueriños (Pontevedra Capital),200000,110,3.0,2.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Gasoil,1,0,0
283,"Piso en venta en Calle del Couto de San Honorato, cerca de Calle de la Rola",Casablanca-Calvario (Distrito Casco Urbano. Vigo),295000,92,3.0,2.0,Planta: 4ª,En buen estado,100.00 euros.,1,0,1,Gas individual,1,0,0
284,Piso en venta en Avenida de Castrelos,Sardoma-Castrelos (Vigo),340000,166,4.0,2.0,Planta: 3ª,En buen estado,147.00 euros.,1,0,1,Propano,1,0,0
285,Piso en venta en Calle Avenida José Graña,Cangas,270000,83,2.0,2.0,,En buen estado,56.00 euros. mantenimiento zonas comunes,1,0,1,Gasóleo colectivo,1,1,0
286,Piso en venta en Calle de Tomás Mirambell,Baiona,230000,76,3.0,2.0,Planta: 3ª,En buen estado,Entre 40 y 60€,1,0,0,No tiene,1,0,0
287,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Venezuela",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),529000,272,5.0,3.0,Planta: 4ª,Reformado,Más de 100€,1,1,1,Gas natural,1,1,0
288,"Piso en venta en Calle de San Pelayo, cerca de Calle Cincuenta y Seis",A Estrada,168000,97,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Placas solares,1,0,0
289,"Piso en venta en Travesía de Vigo, cerca de Calle de San Xosé",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),149000,94,3.0,2.0,Planta: 9ª,En buen estado,70.00 euros.,0,1,1,No tiene,0,0,0
290,Piso en venta en Sanxenxo Playa,Sanxenxo,249000,120,2.0,2.0,Planta: Bajo,En buen estado,Entre 40 y 60€,0,1,0,Eléctrica,0,1,0
291,Apartamento en venta en Calle Prado de las Barxas,Moaña (Resto Parroquia),149000,46,1.0,1.0,Planta: 3ª,En buen estado,0,1,0,1,Eléctrica,1,1,1
292,Piso en venta en Goián,Goyan (Tomiño),84000,137,3.0,1.0,Planta: 4ª,En buen estado,0,1,1,0,"Si, sin especificar",0,0,1
293,Piso en venta en Cangas,Darbo (Santa María). Municipio de Cangas,165000,107,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
294,"Piso en venta en Calle de Ecuador, cerca de Calle Cuba",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),380000,115,3.0,2.0,Planta: 6ª,A estrenar,0,1,1,1,No tiene,0,1,0
295,Piso en venta en Urzaiz-Calvario,Centro-Areal (Distrito Casco Urbano. Vigo),160000,58,1.0,1.0,Planta: 2ª,En buen estado,70.00 euros.,1,0,0,Gasóleo colectivo,1,0,0
296,Apartamento en venta en Calle Arcade Piñeiro,Arcade (Soutomaior),126517,42,1.0,1.0,,En buen estado,0,1,0,1,Central,0,1,1
297,"Piso en venta en Calle de López Mora, cerca de Calle Pintor Lugrís",Praza da Independencia (Distrito Casco Urbano. Vigo),135000,60,1.0,1.0,,En buen estado,0,1,0,1,Gas individual,1,0,0
298,Piso en venta en Rúa Vigo,Sanxenxo,345000,160,2.0,2.0,Planta: Bajo,A estrenar,0,1,0,0,Eléctrica,0,1,0
299,"Piso en venta en Paseo de la Praia de Silgar, cerca de Calle de La Coruña",Sanxenxo,444000,95,3.0,2.0,Planta: 4ª,A estrenar,Entre 20 y 40€,1,1,1,No tiene,1,1,0
300,"Piso en venta en Rúa Baladas, 2",Perdecanay (Barro),115000,110,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,0,Gas natural,1,1,0
301,Piso en venta en Calvario,Casablanca-Calvario (Distrito Casco Urbano. Vigo),289000,124,3.0,2.0,Planta: 1ª,En buen estado,0,0,0,1,No tiene,1,0,0
302,"Piso en venta en Calle del Conde de Torrecedeira, cerca de Calle de Llorente",Berbés-Peritos (Distrito Casco Urbano. Vigo),210000,157,5.0,2.0,,En buen estado,0,0,0,1,No tiene,0,1,0
303,"Piso en venta en Plaza del Espiñeiro, 24",Portonovo (Sanxenxo),159999,73,2.0,1.0,Planta: 4ª,En buen estado,0,1,1,1,No tiene,1,0,0
